_id,INSEGNA,CLASSIFICAZIONE,INDIRIZZO,MUNICIPIO,TIPOLOGIA ESERCIZIO,SINGOLE,DOPPIE,TRIPLE,QUADRUPLE,QUINTUPLE,TOTALE CAMERE,POSTI LETTO
1,ABERDEEN,2,"VIA FIRENZE, 48",Municipio I (ex Mun I),Albergo,10,22,5,,,"",69
2,ABITART HOTEL,4,"VIA PELLEGRINO MATTEUCCI, 10/30",Municipio VIII (ex Mun XI),Albergo,,53,6,6,,"",148
3,ACCADEMIA,3,"PIAZZA DELL'ACCADEMIA DI S. LUCA, 75",Municipio I (ex Mun I),Albergo,13,34,23,3,1,"",167
4,ADLER,2,"VIA MODENA, 5",Municipio I (ex Mun I),Albergo,1,1,3,3,,"",24
5,ADRIANO,3,"VIA DI PALLACORDA, 2",Municipio I (ex Mun I),Albergo,6,51,9,14,,"",191
6,ADRIATIC,2,"VIA GIOVANNI VITELLESCHI, 25",Municipio I (ex Mun I),Albergo,19,22,,,,"",63
7,AL CASALETTO DI SETTECAMINI,2,"VIA DI SETTECAMINI, 3",Municipio IV (ex Mun V),Albergo,13,4,,,,"",21
8,AL SANPIETRINO,2,"VIA GIOVANNI BETTOLO, 43",Municipio I (ex Mun XVII),Albergo,,5,3,,,"",16
9,AL VIMINALE HILL INN & HOTEL,2,"VIA DEL VIMINALE, 38",Municipio I (ex Mun I),Albergo,,9,,,,"",18
10,ALBERGO ABRUZZI,3,"PIAZZA DELLA ROTONDA, 69",Municipio I (ex Mun I),Albergo,3,10,6,1,,"",45
11,ALBERGO DEL SENATO,3,"PIAZZA DELLA ROTONDA, 73",Municipio I (ex Mun I),Albergo,4,34,12,6,,"",132
12,ALDOBRANDESCHI,4,"VIA DEGLI ALDOBRANDESCHI, 295",Municipio XII (ex Mun XVI),Albergo,,80,,2,2,"",178
13,ALDROVANDI PALACE,Lusso,"VIA ULISSE ALDROVANDI, 15",Municipio I (ex Mun I),Albergo,,115,4,,,"",242
14,ALESSANDRINO,3,"VIA CLEMENTE ALESSANDRINO, 9",Municipio XIII (ex Mun XVIII),Albergo,3,18,1,,4,"",62
15,ALEXANDRA,3,"VIA VITTORIO VENETO, 18",Municipio I (ex Mun I),Albergo,15,30,11,,,"",108
16,ALEXIS,1,"VIA GAETA, 29",Municipio I (ex Mun I),Albergo,5,7,,,,"",19
17,ALIMANDI,3,"VIA TUNISI, 8",Municipio I (ex Mun XVII),Albergo,3,24,5,3,,"",78
18,ALIUS HOTEL,1,"VIA NAZIONALE, 243",Municipio I (ex Mun I),Albergo,1,9,,,,"",19
19,ALL TIME RELAIS & SPORT HOTEL,4,"VIA DOMENICO JACHINO, 181",Municipio IX (ex Mun XII),Albergo,7,61,,,,"",129
20,ALL WAYS GARDEN HOTEL & LEISURE,4,"VIA DI CASTEL DI LEVA, 108",Municipio IX (ex Mun XII),Albergo,,38,,,,"",76
21,ALLO STATUTO,1,"VIA DELLO STATUTO, 32",Municipio I (ex Mun I),Albergo,3,1,,,,"",5
22,ALPI,4,"VIA CASTELFIDARDO, 84",Municipio I (ex Mun I),Albergo,4,37,7,,,"",99
23,ALTA QUOTA - PALACAVICCHI,3,"VIA DI CIAMPINO, 70",Municipio VII (ex Mun X),Albergo,,136,,,,"",272
24,ALTAVILLA,2,"VIA PRINCIPE AMEDEO, 9/B",Municipio I (ex Mun I),Albergo,6,8,1,,,"",25
25,AMADEUS,3,"VIA GIOBERTI, 72",Municipio I (ex Mun I),Albergo,,14,7,3,,"",61
26,AMALFI,3,"VIA MERULANA, 278",Municipio I (ex Mun I),Albergo,6,12,4,,,"",42
27,AMBASCIATORI PALACE,Lusso,"VIA VITTORIO VENETO, 62",Municipio I (ex Mun I),Albergo,5,105,49,1,,"",366
28,AMBRA PALACE HOTEL,4,"VIA PRINCIPE AMEDEO, 257",Municipio I (ex Mun I),Albergo,12,66,,,,"",144
29,AMERICAN PALACE EUR,4,"VIA LAURENTINA, 552",Municipio IX (ex Mun XII),Albergo,79,69,12,,,"",253
30,ANAHI,2,"VIA DELLA PENNA, 65",Municipio I (ex Mun I),Albergo,9,8,,,,"",25
31,ANDREOTTI,3,"VIA CASTELFIDARDO, 55",Municipio I (ex Mun I),Albergo,10,38,5,,,"",101
32,ANFITEATRO FLAVIO,3,"VIA DEI SERPENTI, 130",Municipio I (ex Mun I),Albergo,5,5,1,,,"",18
33,ANGEL,2,"VIA MARIANNA DIONIGI, 43",Municipio I (ex Mun I),Albergo,1,7,3,,,"",24
