id;tipologia;denominazione;via;civico;latitude;longitude;stelle;categoria;totalePostiLetto;totaleNumeroCamere;numeroSingole;numeroDoppie;numeroTriple;numeroQuadruple;numeroBagni;contattoCellulare;contattoEmail;contattoFacebook;contattoInstagram;contattoTelefono;contattoWebSite;contattoFax;contattoTwitter;accessibileDisabili;accettazioneGruppi;"accettaAnimaliPiccolaTaglia";attivitaSportive;depositoValori;lavanderia;ristorante;tennis;parco;pistaBallo;servizioTelefono;televisione;tennisTavolo;ariaCondizionata;coperturaWifi;piscina;parcheggioCustodito;"venditaAlimentiPropriaProduzione";trasportoClienti;bar;cassettaSicurezza;presaTelefonicaModem;spaccio;campiBocce;campoBeachVolley;campoCalcetto;campoPallavolo;attraccoNatanti;numeroBungalow;numeroDocce;numeroLavadini;numeroPiazzole
155826;"Guest House o Affittacamere";"00146 Roma Holiday and Jubilee House";"Via Efeso";"19";"41.8542663";"12.4749789";;3;;;1;1;;;;"0039 388 831 5427";;"https://www.facebook.com/romeholiday/";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
170524;"Guest House o Affittacamere";"100 metres from Vatican Museums Albatros";"Via La Goletta";"19";"41.9083502";"12.4522219";;3;15;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
165749;"Guest House o Affittacamere";"121 Candia";"Via Candia";"121";"41.9075297";"12.4513527";;2;4;;;2;;;;;;;;"0039 06 86975225";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
299915;"Guest House o Affittacamere";"126 Gracchi Suites";"Via dei Gracchi";"126";"41.908445";"12.464006";;;10;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
124787;"Guest House o Affittacamere";"149 Guest House";"Via Marmorata";"149";"41.881432";"12.4769505";;2;7;;1;3;;;;"0039 334 7731404";"info@149guesthouse.it";;;"0039 06 6861118";"www.149guesthouse.it";;;;;;;;true;;;;;;;;true;;;;;;;;;;;;;;;;;;
138549;"Guest House o Affittacamere";"1880 atypical rooms";"Via Nazionale";"66";"41.8994434";"12.4912529";;1;15;;;3;3;;;"0039 366 4122086";"info@1880atypicalrooms.com";"www.facebook.com/atypicalroomsrome?fref=ts";;"0039 06 97613452";"www.atypicalroomsrome.com";"0039 06 97613467";;;;;;;;;;;;;true;;true;true;;;;;;;;;;;;;;;;;
321415;"Guest House o Affittacamere";"2020 Termini Rooms";"Via Rattazzi";"65";"41.898142825924225";"12.504029087648426";;3;6;3;2;1;;;;"329 6962018";"2020TERMINIROOMS@GMAIL.COM";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
117354;"Guest House o Affittacamere";"207 Equatore";"Viale Giulio Cesare";"207";"41.9089709";"12.4562979";;3;4;2;;;;;;;"info@207inn.com";;;"0039 06 39726694";"www.207inn.com";"0039 06 39761022";;;;;;;;;;;;;true;;true;true;;;;true;;;;;;;;;;;;;
182370;"Guest House o Affittacamere";"247 Luxury Guest House o Affittacamere";"Viale di Trastevere";"247";"41.8765105";"12.4659008";;2;11;5;;;;;;;"info@247luxury.it";;;"0039 06 69373451";"www.247luxury.it";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
155738;"Guest House o Affittacamere";"3 Inn Ripetta";"Via di Ripetta";"35";"41.9084011";"12.4761238";;2;7;;;2;1;;;"0039 392 116 0132";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
